phase,epoch,train_loss,train_MAE,val_MAE,val_Acc@1,val_Acc@3,balanced_route_ratio,note
vanilla,1,5.541858808590828,7.123792906573917,4.5380227775187105,0.1891891891891892,0.47761824324324326,0.0,自然采样起始阶段
vanilla,5,4.167850227219078,4.231907914341688,4.2535425907856705,0.22677364864864866,0.49493243243243246,0.0,自然头验证 MAE 明显下降
vanilla,8,3.8547785013283495,3.735588047461776,4.243573810603167,0.22212837837837837,0.49493243243243246,0.0,自然阶段较优区域
vanilla,12,3.36278740086912,3.108820149756492,4.3109447037851485,0.22930743243243243,0.4987331081081081,0.0,训练 MAE 继续下降但验证 MAE 回升
vanilla,16,2.9076138495090524,2.5950926761124973,4.3687842891022965,0.23310810810810811,0.48353040540540543,0.0,自然阶段末尾
balanced,1,3.755002367295827,3.7701835804429447,4.226043846156146,0.22635135135135134,0.4983108108108108,0.27702702702702703,进入平衡采样阶段
balanced,3,3.4922158513545463,3.404738239257935,4.210135322970313,0.22339527027027026,0.5,0.19890202702702703,最终选择的最佳验证 MAE
balanced,5,3.2412602097420358,3.0592869629828976,4.257903364864555,0.22550675675675674,0.49451013513513514,0.16131756756756757,继续训练后验证 MAE 未继续改善
balanced,7,3.0594758729897955,2.8388985285664114,4.227214547427925,0.22761824324324326,0.4953547297297297,0.13682432432432431,平衡阶段末尾
