phase,epoch,train_loss,train_MAE,val_MAE,val_Acc@1,val_Acc@3,balanced_route_ratio
vanilla,1,5.541858808590828,7.123792906573917,4.5380227775187105,0.1891891891891892,0.47761824324324326,0.0
vanilla,2,4.492002690135945,4.714110376614579,4.39826629129616,0.20988175675675674,0.4936655405405405,0.0
vanilla,3,4.391279227399844,4.599708599501012,4.381516556482057,0.22381756756756757,0.4966216216216216,0.0
vanilla,4,4.245396934041977,4.366239836383172,4.409971409552806,0.20439189189189189,0.4733952702702703,0.0
vanilla,5,4.167850227219078,4.231907914341688,4.2535425907856705,0.22677364864864866,0.49493243243243246,0.0
vanilla,6,4.080839381118065,4.095082461113703,4.262651773723396,0.2204391891891892,0.5067567567567568,0.0
vanilla,7,3.9808233918681206,3.9311774361889054,4.249430018502313,0.22635135135135134,0.504222972972973,0.0
vanilla,8,3.8547785013283495,3.735588047461776,4.243573810603167,0.22212837837837837,0.49493243243243246,0.0
vanilla,9,3.740147507125913,3.5957431831458497,4.267302008899483,0.22255067567567569,0.49493243243243246,0.0
vanilla,10,3.614776547015119,3.4157674846897765,4.337260727141355,0.21072635135135134,0.49577702702702703,0.0
vanilla,11,3.48213430192249,3.2585740795198905,4.361982000840677,0.21663851351351351,0.47846283783783783,0.0
vanilla,12,3.36278740086912,3.108820149756492,4.3109447037851485,0.22930743243243243,0.4987331081081081,0.0
vanilla,13,3.2226106794042377,2.9231331455733343,4.330301710077234,0.22297297297297297,0.4936655405405405,0.0
vanilla,14,3.131823959668125,2.833341907595627,4.372685105414004,0.20988175675675674,0.4831081081081081,0.0
vanilla,15,3.032266253374804,2.750797731480959,4.3382807261235,0.22761824324324326,0.49324324324324326,0.0
vanilla,16,2.9076138495090524,2.5950926761124973,4.3687842891022965,0.23310810810810811,0.48353040540540543,0.0
balanced,1,3.755002367295827,3.7701835804429447,4.226043846156146,0.22635135135135134,0.4983108108108108,0.27702702702702703
balanced,2,3.614658170158797,3.5525823144961532,4.262085089812407,0.22212837837837837,0.4953547297297297,0.21621621621621623
balanced,3,3.4922158513545463,3.404738239257935,4.210135322970313,0.22339527027027026,0.5,0.19890202702702703
balanced,4,3.3709277523569767,3.2300862399929526,4.2356137182261495,0.22719594594594594,0.5008445945945946,0.17483108108108109
balanced,5,3.2412602097420358,3.0592869629828976,4.257903364864555,0.22550675675675674,0.49451013513513514,0.16131756756756757
balanced,6,3.1441075334221344,2.947035442813456,4.234126960909045,0.22972972972972974,0.49577702702702703,0.15751689189189189
balanced,7,3.0594758729897955,2.8388985285664114,4.227214547427925,0.22761824324324326,0.4953547297297297,0.13682432432432431
